GP_ID,NORAD_CAT_ID,OBJECT_NAME,EPOCH,CREATION_DATE,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,ELEMENT_SET_NO,TLE_LINE1,TLE_LINE2,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,ORIGINATOR,source,raw_file_path
332121976,39634,SENTINEL 1A,2026-06-28T22:56:43.308384,2026-06-29T02:26:44,14.59198658,0.00013551,98.1775,187.3167,84.7020,275.4334,0.00001692006600,999,1 39634U 14016A   26179.95605681  .00000034  00000-0  16920-4 0  9991,2 39634  98.1775 187.3167 0001355  84.7020 275.4334 14.59198658651738,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332157282,39634,SENTINEL 1A,2026-06-29T12:06:39.845376,2026-06-29T14:26:40,14.59199697,0.00013800,98.1774,187.8575,83.0357,277.0999,0.00007101800000,999,1 39634U 14016A   26180.50462784  .00000289  00000-0  71018-4 0  9990,2 39634  98.1774 187.8575 0001380  83.0357 277.0999 14.59199697651816,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332253654,39634,SENTINEL 1A,2026-06-30T12:47:48.363360,2026-06-30T17:15:18,14.59200163,0.00013849,98.1774,188.8710,82.9282,277.2075,0.00006779789100,999,1 39634U 14016A   26181.53319865  .00000274  00000-0  67798-4 0  9999,2 39634  98.1774 188.8710 0001385  82.9282 277.2075 14.59200163651962,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332287280,39634,SENTINEL 1A,2026-06-30T21:01:31.236672,2026-06-30T22:36:30,14.59199326,0.00013880,98.1774,189.2088,85.0835,275.0523,0.00001521200000,999,1 39634U 14016A   26181.87605598  .00000026  00000-0  15212-4 0  9996,2 39634  98.1774 189.2088 0001388  85.0835 275.0523 14.59199326652015,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332346768,39634,SENTINEL 1A,2026-06-30T22:40:15.778848,2026-07-01T03:38:51,14.59199788,0.00013756,98.1773,189.2763,85.9129,274.2228,0.00003677093300,999,1 39634U 14016A   26181.94462707  .00000128  00000-0  36771-4 0  9993,2 39634  98.1773 189.2763 0001376  85.9129 274.2228 14.59199788652022,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332395950,39634,SENTINEL 1A,2026-07-01T03:36:29.467584,2026-07-01T08:16:36,14.59200283,0.00013800,98.1773,189.4791,85.0840,275.0517,0.00006659400000,999,1 39634U 14016A   26182.15034106  .00000268  00000-0  66594-4 0  9996,2 39634  98.1773 189.4791 0001380  85.0840 275.0517 14.59200283652057,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332457649,39634,SENTINEL 1A,2026-07-01T06:53:58.596864,2026-07-01T10:22:27,14.59200543,0.00013863,98.1773,189.6143,85.1386,274.9972,0.00008358506900,999,1 39634U 14016A   26182.28748376  .00000348  00000-0  83585-4 0  9999,2 39634  98.1773 189.6143 0001386  85.1386 274.9972 14.59200543652076,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332493981,39634,SENTINEL 1A,2026-07-01T11:50:12.288192,2026-07-01T14:56:46,14.59200584,0.00013860,98.1773,189.8170,84.6106,275.5251,0.00007113900000,999,1 39634U 14016A   26182.49319778  .00000290  00000-0  71139-4 0  9990,2 39634  98.1773 189.8170 0001386  84.6106 275.5251 14.59200584652108,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332565700,39634,SENTINEL 1A,2026-07-01T15:07:41.464992,2026-07-01T18:59:19,14.59199679,0.00013730,98.1773,189.9520,85.0702,275.0655,0.00001940585400,999,1 39634U 14016A   26182.63034103  .00000046  00000-0  19406-4 0  9990,2 39634  98.1773 189.9520 0001373  85.0702 275.0655 14.59199679652128,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
332599493,39634,SENTINEL 1A,2026-07-01T23:21:24.327072,2026-07-02T04:06:45,14.59199020,0.00013825,98.1773,190.2898,86.0698,274.0659,-0.00002614084200,999,1 39634U 14016A   26182.97319823 -.00000169  00000-0 -26141-4 0  9994,2 39634  98.1773 190.2898 0001383  86.0698 274.0659 14.59199020652175,TEME,UTC,SGP4,18 SPCS,Space-Track GP_HISTORY,data/orbit_uncertainty_pilot/raw/spacetrack_gp/sentinel1a_gp_history_20260624_20260702.json
