NORAD_CAT_ID,OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,TLE_LINE1,TLE_LINE2
47749,STARLINK-2163,2026-03-07T09:01:15.368448,15.31045252,0.00012415,53.1618,205.0151,74.0957,286.0181,1 47749U 21017AD  26066.37587232  .00022359  00000-0  74508-3 0  9997,2 47749  53.1618 205.0151 0001241  74.0957 286.0181 15.31045252277629
47749,STARLINK-2163,2026-03-08T13:13:16.825152,15.31023895,0.00013440,53.1617,199.5505,50.2853,309.8267,1 47749U 21017AD  26067.55088918 -.00000434  00000-0 -23409-5 0  9993,2 47749  53.1617 199.5505 0001344  50.2853 309.8267 15.31023895277801
47749,STARLINK-2163,2026-03-08T14:47:16.944576,15.31022816,0.00012549,53.1617,199.2469,61.9554,298.1574,1 47749U 21017AD  26067.61616834  .00002539  00000-0  95474-4 0  9990,2 47749  53.1617 199.2469 0001255  61.9554 298.1574 15.31022816277819
47749,STARLINK-2163,2026-03-08T16:21:17.207424,15.31022313,0.00013600,53.1617,198.9436,54.8778,305.2351,1 47749U 21017AD  26067.68144916  .00005707  00000-0  19961-3 0  9990,2 47749  53.1617 198.9436 0001360  54.8778 305.2351 15.31022313277821
47749,STARLINK-2163,2026-03-09T12:43:18.994944,15.31034927,0.00015520,53.1614,194.9971,53.2577,306.8566,1 47749U 21017AD  26068.53008096  .00010847  00000-0  36825-3 0  9992,2 47749  53.1614 194.9971 0001552  53.2577 306.8566 15.31034927277954
47749,STARLINK-2163,2026-03-09T14:17:19.085856,15.31037251,0.00016914,53.1606,194.6933,50.3296,309.7854,1 47749U 21017AD  26068.59535979  .00011218  00000-0  38040-3 0  9997,2 47749  53.1606 194.6933 0001691  50.3296 309.7854 15.31037251277966
47749,STARLINK-2163,2026-03-09T15:51:19.111104,15.31039674,0.00015950,53.1608,194.3896,55.6848,304.4304,1 47749U 21017AD  26068.66063786  .00011681  00000-0  39557-3 0  9995,2 47749  53.1608 194.3896 0001595  55.6848 304.4304 15.31039674277971
47749,STARLINK-2163,2026-03-09T15:51:19.111968,15.31039674,0.00015945,53.1608,194.3896,55.6848,304.4304,1 47749U 21017AD  26068.66063787  .00011681  00000-0  39557-3 0  9996,2 47749  53.1608 194.3896 0001595  55.6848 304.4304 15.31039674277971
47749,STARLINK-2163,2026-03-10T07:31:20.361504,15.31034188,0.00015580,53.1609,191.3556,66.8993,293.2172,1 47749U 21017AD  26069.31343011  .00003391  00000-0  12343-3 0  9993,2 47749  53.1609 191.3556 0001558  66.8993 293.2172 15.31034188278071
47749,STARLINK-2163,2026-03-10T12:13:20.755200,15.31028949,0.00012920,53.1605,190.4422,77.2179,282.8966,1 47749U 21017AD  26069.50926800  .00003234  00000-0  11828-3 0  9990,2 47749  53.1605 190.4422 0001292  77.2179 282.8966 15.31028949278103
47749,STARLINK-2163,2026-03-10T16:55:21.091008,15.31030061,0.00012510,53.1600,189.5313,81.7055,278.4087,1 47749U 21017AD  26069.70510522  .00002326  00000-0  88450-4 0  9999,2 47749  53.1600 189.5313 0001251  81.7055 278.4087 15.31030061278130
47749,STARLINK-2163,2026-03-10T16:55:21.091008,15.31030061,0.00012507,53.1600,189.5313,81.7055,278.4087,1 47749U 21017AD  26069.70510522  .00002326  00000-0  88450-4 0  9999,2 47749  53.1600 189.5313 0001251  81.7055 278.4087 15.31030061278130
47749,STARLINK-2163,2026-03-11T07:01:21.802944,15.31038874,0.00010989,53.1596,186.7985,91.1066,269.0061,1 47749U 21017AD  26070.29261346  .00005894  00000-0  20565-3 0  9997,2 47749  53.1596 186.7985 0001099  91.1066 269.0061 15.31038874278223
47749,STARLINK-2163,2026-03-11T11:43:21.855360,15.31048814,0.00011920,53.1594,185.8889,87.5825,272.5312,1 47749U 21017AD  26070.48844740  .00010295  00000-0  35001-3 0  9995,2 47749  53.1594 185.8889 0001192  87.5825 272.5312 15.31048814278256
47749,STARLINK-2163,2026-03-11T13:17:13.794432,15.31399241,0.00027390,53.1589,185.5846,340.8353,19.2545,1 47749U 21017AD  26070.55363188  .00178586  00000-0  56831-2 0  9996,2 47749  53.1589 185.5846 0002739 340.8353  19.2545 15.31399241278267
47749,STARLINK-2163,2026-03-11T13:17:13.794432,15.31399241,0.00027391,53.1589,185.5846,340.8353,19.2545,1 47749U 21017AD  26070.55363188  .00178587  00000-0  56831-2 0  9997,2 47749  53.1589 185.5846 0002739 340.8353  19.2545 15.31399241278267
47749,STARLINK-2163,2026-03-12T06:31:23.511360,15.30999040,0.00026492,53.1583,182.2457,330.6623,29.4229,1 47749U 21017AD  26071.27179990 -.00014672  00000-0 -47217-3 0  9998,2 47749  53.1583 182.2457 0002649 330.6623  29.4229 15.30999040278376
47749,STARLINK-2163,2026-03-12T12:47:23.475840,15.31030163,0.00016055,53.1591,181.0321,109.3973,250.7202,1 47749U 21017AD  26071.53291060 -.00002718  00000-0 -77518-4 0  9996,2 47749  53.1591 181.0321 0001605 109.3973 250.7202 15.31030163278410
47749,STARLINK-2163,2026-03-12T14:21:23.851008,15.31027899,0.00013210,53.1590,180.7284,95.3012,264.8140,1 47749U 21017AD  26071.59819272 -.00001268  00000-0 -29793-4 0  9994,2 47749  53.1590 180.7284 0001321  95.3012 264.8140 15.31027899278426
47749,STARLINK-2163,2026-03-12T17:29:24.268704,15.31026616,0.00013480,53.1598,180.1216,95.1114,265.0041,1 47749U 21017AD  26071.72875311 -.00000340  00000-0  75142-6 0  9995,2 47749  53.1598 180.1216 0001348  95.1114 265.0041 15.31026616278444
47749,STARLINK-2163,2026-03-12T17:29:24.269568,15.31026616,0.00013477,53.1598,180.1216,95.1114,265.0041,1 47749U 21017AD  26071.72875312 -.00000340  00000-0  75142-6 0  9996,2 47749  53.1598 180.1216 0001348  95.1114 265.0041 15.31026616278444
47749,STARLINK-2163,2026-03-13T07:35:25.267488,15.31033448,0.00012822,53.1609,177.3891,92.5919,267.5229,1 47749U 21017AD  26072.31626467 -.00000091  00000-0  89254-5 0  9998,2 47749  53.1609 177.3891 0001282  92.5919 267.5229 15.31033448278531
47749,STARLINK-2163,2026-03-14T13:21:26.534304,15.31039064,0.00011123,53.1594,171.6216,79.3897,280.7230,1 47749U 21017AD  26073.55655711  .00003312  00000-0  12081-3 0  9999,2 47749  53.1594 171.6216 0001112  79.3897 280.7230 15.31039064278722
47749,STARLINK-2163,2026-03-15T12:51:28.092384,15.31039209,0.00015132,53.1624,167.0695,88.7208,271.3967,1 47749U 21017AD  26074.53574181  .00000484  00000-0  27858-4 0  9995,2 47749  53.1624 167.0695 0001513  88.7208 271.3967 15.31039209278871
47749,STARLINK-2163,2026-03-15T15:59:28.079808,15.31041025,0.00012987,53.1618,166.4556,80.3799,279.7349,1 47749U 21017AD  26074.66629722  .00000766  00000-0  37124-4 0  9991,2 47749  53.1618 166.4556 0001299  80.3799 279.7349 15.31041025278894
47749,STARLINK-2163,2026-03-16T12:21:30.360672,15.31029959,0.00012610,53.1622,162.5054,95.4544,264.6601,1 47749U 21017AD  26075.51493473 -.00001678  00000-0 -43291-4 0  9995,2 47749  53.1622 162.5054 0001261  95.4544 264.6601 15.31029959279025
47749,STARLINK-2163,2026-03-17T14:59:31.545888,15.31039847,0.00012595,53.1615,157.3488,87.8767,272.2379,1 47749U 21017AD  26076.62467067  .00000888  00000-0  41135-4 0  9993,2 47749  53.1615 157.3488 0001260  87.8767 272.2379 15.31039847279193
47749,STARLINK-2163,2026-03-17T22:49:20.960256,15.31167224,0.00008369,53.1617,155.8313,225.5197,134.5736,1 47749U 21017AD  26076.95093704  .00017248  00000-0  57571-3 0  9990,2 47749  53.1617 155.8313 0000837 225.5197 134.5736 15.31167224279246
47749,STARLINK-2163,2026-03-18T12:54:26.707968,15.31798311,0.00010870,53.1618,153.0949,69.2086,290.9032,1 47749U 21017AD  26077.53780912  .00100436  00000-0  31952-2 0  9995,2 47749  53.1618 153.0949 0001087  69.2086 290.9032 15.31798311279333
47749,STARLINK-2163,2026-03-18T14:28:16.938048,15.31905620,0.00009050,53.1600,152.7902,96.8974,263.2131,1 47749U 21017AD  26077.60297382  .00115433  00000-0  36509-2 0  9993,2 47749  53.1600 152.7902 0000905  96.8974 263.2131 15.31905620279346
47749,STARLINK-2163,2026-03-18T14:28:16.938048,15.31905620,0.00009048,53.1600,152.7902,96.8974,263.2131,1 47749U 21017AD  26077.60297382  .00115433  00000-0  36509-2 0  9993,2 47749  53.1600 152.7902 0000905  96.8974 263.2131 15.31905620279346
47749,STARLINK-2163,2026-03-18T22:17:44.734272,15.32148175,0.00023207,53.1595,151.2689,235.6836,124.3947,1 47749U 21017AD  26077.92898998  .00138724  00000-0  43384-2 0  9995,2 47749  53.1595 151.2689 0002321 235.6836 124.3947 15.32148175279391
47749,STARLINK-2163,2026-03-19T08:00:01.999872,15.33897980,0.00013576,53.1589,149.3881,87.2546,344.3151,1 47749U 21017AD  26078.33335648  .00874503  00000-0  24169-1 0  9990,2 47749  53.1589 149.3881 0001358  87.2546 344.3151 15.33897980  5826
47749,STARLINK-2163,2026-03-19T20:00:01.999008,15.34488254,0.00013520,53.1582,147.0515,56.7026,258.1999,1 47749U 21017AD  26078.83335647  .01833030  00000-0  48511-1 0  9992,2 47749  53.1582 147.0515 0001352  56.7026 258.1999 15.34488254  5896
47749,STARLINK-2163,2026-03-19T22:00:00.999936,15.34741896,0.00016005,53.1594,146.6609,87.9021,327.6382,1 47749U 21017AD  26078.91667824  .01566689  00000-0  41800-1 0  9993,2 47749  53.1594 146.6609 0001600  87.9021 327.6382 15.34741896  5910
48458,STARLINK-2698,2026-03-01T09:54:26.501472,15.31038511,0.00012030,53.1608,217.2845,82.6389,277.4749,1 48458U 21040AG  26060.41280673  .00000858  00000-0  40154-4 0  9990,2 48458  53.1608 217.2845 0001203  82.6389 277.4749 15.31038511266120
48458,STARLINK-2698,2026-03-01T19:18:26.470656,15.31052308,0.00014086,53.1599,215.4634,82.1886,277.9275,1 48458U 21040AG  26060.80447304  .00006287  00000-0  21849-3 0  9990,2 48458  53.1599 215.4634 0001409  82.1886 277.9275 15.31052308266185
48458,STARLINK-2698,2026-03-01T19:18:26.470656,15.31052308,0.00014090,53.1599,215.4634,82.1886,277.9275,1 48458U 21040AG  26060.80447304  .00006287  00000-0  21849-3 0  9990,2 48458  53.1599 215.4634 0001409  82.1886 277.9275 15.31052308266185
