scope,scored_units,rho99_lt_0p8,rho99_0p8_to_1p2,rho99_gt_1p2,rho99_le_1,rho99_gt_1,DEFER_units,rho99_min,rho99_median,rho99_max,diagnostic_only,coverage_status,hard_minimum_rule
OVERALL,407,108,40,259,142,265,0,0.015322250249780192,3.866634883604354,2968.465923544956,True,BOUNDARY_COVERAGE_SUFFICIENT_DESCRIPTIVE,NOT_FROZEN; descriptive band presence only
active_compensation_first_pass,30,0,0,30,0,30,0,1.9720762998401695,1549.1338376625492,2852.0498165888075,True,BOUNDARY_COVERAGE_SUFFICIENT_DESCRIPTIVE,NOT_FROZEN; descriptive band presence only
controlled_altitude_difference_synthetic_B,300,100,40,160,134,166,0,0.015322250249780192,1.9306019409421253,21.460074028426465,True,BOUNDARY_COVERAGE_SUFFICIENT_DESCRIPTIVE,NOT_FROZEN; descriptive band presence only
same_pair_multi_pass_real_TLE,40,0,0,40,0,40,0,36.88535737303945,1642.9315278235558,2968.465923544956,True,BOUNDARY_COVERAGE_SUFFICIENT_DESCRIPTIVE,NOT_FROZEN; descriptive band presence only
segment_local_heatmap_and_direction_sensitivity,37,8,0,29,8,29,0,0.01692842655016002,856.7264702399771,2677.57196412757,True,BOUNDARY_COVERAGE_SUFFICIENT_DESCRIPTIVE,NOT_FROZEN; descriptive band presence only
