record_type,physical_pair_id,passes_evaluated,ORBIT_DISTINCT_passes,passes_with_nonzero_acceptance,fraction_passes_with_nonzero_acceptance,passes_with_acceptance_fraction_gt_0p5,all_pass_zero,persistent_nonzero_multiple_passes,rho99_mean,rho99_p10,rho99_q1,rho99_median,rho99_q3,rho99_p90,rho99_min,rho99_max,acceptance_fraction_mean,acceptance_fraction_p10,acceptance_fraction_q1,acceptance_fraction_median,acceptance_fraction_q3,acceptance_fraction_p90,acceptance_fraction_min,acceptance_fraction_max,analysis_status,orbit_unit_id,segment_or_pass_id,evaluation_time,pass_rank_within_pair,rho99,physical_position_separation_km,controlled_observation_acceptance_fraction,descriptive_persistence_label
PASS_DETAIL,65409->47383,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_4338539a1e1193e95fa38af5,same_tle_65409_20260311T092530Z_segment_3,2026-03-11T09:28:59.500000Z,3.0,2121.568738329861,10508.370500764097,0.35,MIXED
PASS_DETAIL,65686->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_448680309496d71f10f88a4f,same_tle_65686_20260312T152900Z_segment_3,2026-03-12T15:32:29.500000Z,4.0,2013.285872486712,11432.60002244611,0.0,ZERO
PASS_DETAIL,65686->44714,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_4687e9a31465e79d364f459d,same_tle_65686_20260311T142130Z_segment_3,2026-03-11T14:24:59.500000Z,2.0,2075.21155417546,11607.827500341968,0.0,ZERO
PASS_DETAIL,44714->65409,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_4717c3235238b0689f7215ee,same_tle_44714_20260310T023440Z_segment_2,2026-03-10T02:37:09.500000Z,1.0,2684.8814232527143,13131.109875776156,0.0,ZERO
PASS_DETAIL,65409->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_534778f7511d4e5ccc10de67,same_tle_65409_20260310T131215Z_segment_2,2026-03-10T13:14:44.500000Z,2.0,1375.055004034131,10110.702860277255,0.0,ZERO
PASS_DETAIL,44714->65409,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_57112ed6cc56dabee5ab7815,same_tle_44714_20260312T044740Z_segment_3,2026-03-12T04:51:09.500000Z,4.0,2699.5591326734657,13478.339058791033,0.0,ZERO
PASS_DETAIL,65686->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_5a72d4f1a8320be6064c7e9b,same_tle_65686_20260311T142130Z_segment_3,2026-03-11T14:24:59.500000Z,2.0,2021.2575947614955,11176.63813743132,0.0,ZERO
PASS_DETAIL,44714->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_5e961cd09ae7f28b1393dcc3,same_tle_44714_20260310T023440Z_segment_2,2026-03-10T02:37:09.500000Z,1.0,1522.43431785878,10395.210621646142,0.0,ZERO
PASS_DETAIL,44714->65409,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_5f9a1980f00c103f7d284a6e,same_tle_44714_20260310T090420Z_segment_3,2026-03-10T09:07:49.500000Z,2.0,2913.630663752678,13657.228272472665,0.0,ZERO
PASS_DETAIL,65686->65421,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_61e8cff4fa33193ff9bd39d3,same_tle_65686_20260311T142130Z_segment_3,2026-03-11T14:24:59.500000Z,2.0,284.6707694897453,2587.287720213371,0.0,ZERO
PASS_DETAIL,65686->44714,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_64858c14ddb2a80aa0952079,same_tle_65686_20260312T152900Z_segment_3,2026-03-12T15:32:29.500000Z,4.0,1870.5503551932416,10402.59394058615,0.0,ZERO
PASS_DETAIL,65421->65686,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_6843755a94a0380de08c306d,same_tle_65421_20260311T110455Z_segment_3,2026-03-11T11:08:24.500000Z,3.0,283.5377481472366,2593.80176952296,0.0,ZERO
PASS_DETAIL,65686->44714,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_69e7bcdfe31dc40a7f14539f,same_tle_65686_20260312T121505Z_segment_2,2026-03-12T12:17:34.500000Z,3.0,2302.097456147018,12611.772154567185,0.0,ZERO
PASS_DETAIL,65410->45230,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_7e5e2ed47165a019c95b95c8,same_tle_65410_20260310T131135Z_segment_2,2026-03-10T13:14:04.500000Z,2.0,987.1487955398294,7257.471038616031,0.0,ZERO
PASS_DETAIL,65421->65686,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_7f0c99e21a52875d5689e262,same_tle_65421_20260310T064225Z_segment_3,2026-03-10T06:45:54.500000Z,1.0,1212.829362418973,7238.897059224215,0.0,ZERO
PASS_DETAIL,65421->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_8226dc0359789a2795020342,same_tle_65421_20260310T131350Z_segment_2,2026-03-10T13:16:19.500000Z,2.0,1496.6058516533303,10522.398277300752,0.0,ZERO
PASS_DETAIL,44714->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_893a0af82834c948fd258132,same_tle_44714_20260311T034020Z_segment_3,2026-03-11T03:43:49.500000Z,3.0,1687.7880035970454,10384.140454892617,0.0,ZERO
PASS_DETAIL,65686->65421,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_8a2d15c625c2a616fb8b8a19,same_tle_65686_20260310T131505Z_segment_2,2026-03-10T13:17:34.500000Z,1.0,41.0261793375077,1023.063157517672,0.0,ZERO
PASS_DETAIL,65409->47383,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_8bb357fa3f3c6160faa12256,same_tle_65409_20260310T113340Z_segment_3,2026-03-10T11:37:09.500000Z,2.0,2328.1771139502016,11825.667066444352,0.0,ZERO
PASS_DETAIL,65686->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_90b220cc47c908983a04ec8d,same_tle_65686_20260310T131505Z_segment_2,2026-03-10T13:17:34.500000Z,1.0,1906.2601592377,10464.969286017096,0.0,ZERO
PASS_DETAIL,65409->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_968e340e78a34ed283cd0d79,same_tle_65409_20260312T085505Z_segment_3,2026-03-12T08:58:34.500000Z,4.0,1433.5973226537117,9926.103014498452,0.1166666666666666,MIXED
PASS_DETAIL,65410->45230,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_9b5c1cf2c5fe3fb376542a14,same_tle_65410_20260311T110240Z_segment_3,2026-03-11T11:06:09.500000Z,3.0,1616.7406146176709,8799.571661946658,0.0,ZERO
PASS_DETAIL,65410->45230,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_9bc3c5aaf88b96035dd39f7f,same_tle_65410_20260310T064015Z_segment_3,2026-03-10T06:43:44.500000Z,1.0,1810.470246036824,10342.7487081958,0.0,ZERO
PASS_DETAIL,65686->65421,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_a11d83247bd38a500c6412b6,same_tle_65686_20260312T121505Z_segment_2,2026-03-12T12:17:34.500000Z,3.0,36.88535737303945,992.3513499699328,0.0,ZERO
PASS_DETAIL,44714->65409,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_a43b1d824ecd15413d05e9e6,same_tle_44714_20260311T034020Z_segment_3,2026-03-11T03:43:49.500000Z,3.0,2968.465923544956,13291.590841283334,0.0,ZERO
PASS_DETAIL,65421->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_ad716ff611712ba6e00fb636,same_tle_65421_20260311T110455Z_segment_3,2026-03-11T11:08:24.500000Z,3.0,1549.7959920212445,10489.744278639382,0.0,ZERO
PASS_DETAIL,44714->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_ba78985c658138ef4bef56f9,same_tle_44714_20260310T090420Z_segment_3,2026-03-10T09:07:49.500000Z,2.0,1669.1224410294406,10318.61009265841,0.0,ZERO
PASS_DETAIL,65421->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_c3a7b9d76a49bdb79048cc52,same_tle_65421_20260310T064225Z_segment_3,2026-03-10T06:45:54.500000Z,1.0,1488.7519950815135,10128.91708333015,0.0,ZERO
PASS_DETAIL,65409->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_c57a6f9b62fda32828caa6d3,same_tle_65409_20260311T110325Z_segment_3,2026-03-11T11:06:54.500000Z,3.0,1446.5482752933715,10067.192448985832,0.0,ZERO
PASS_DETAIL,65421->65686,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_dbea98e58ee20dd22a5cc550,same_tle_65421_20260310T131350Z_segment_2,2026-03-10T13:16:19.500000Z,2.0,63.95837230283578,905.9174847817492,0.0833333333333333,RARE
PASS_DETAIL,65410->45230,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_df624eb2ae18157472d6c489,same_tle_65410_20260312T085425Z_segment_3,2026-03-12T08:57:54.500000Z,4.0,1818.311220811513,9936.521204335091,0.2833333333333333,MIXED
PASS_DETAIL,44714->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_e1b673a537d048421367d0b9,same_tle_44714_20260312T044740Z_segment_3,2026-03-12T04:51:09.500000Z,4.0,1514.1206972374446,10366.75272980994,0.0,ZERO
PASS_DETAIL,65686->44714,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_ed7a185bcf098759983586ed,same_tle_65686_20260310T131505Z_segment_2,2026-03-10T13:17:34.500000Z,1.0,2298.8111066435818,12597.917995952324,0.0,ZERO
PASS_DETAIL,65409->47749,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_edc9922fbb194474433e5fee,same_tle_65409_20260310T064055Z_segment_3,2026-03-10T06:44:24.500000Z,1.0,1372.9509040585076,9668.48018679469,0.0,ZERO
PASS_DETAIL,65409->47383,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_f7da9ce4ede19438b11778f5,same_tle_65409_20260312T054045Z_segment_2,2026-03-12T05:43:14.500000Z,4.0,2142.693915527801,8958.557608623385,0.0,ZERO
PASS_DETAIL,65686->65421,,,,,,,,,,,,,,,,,,,,,,,,,orbit_unit_f9ebff79997a584e3a24f750,same_tle_65686_20260312T152900Z_segment_3,2026-03-12T15:32:29.500000Z,4.0,616.2536713029759,4373.058140810238,0.0,ZERO
