analysis_split,freshness_bin,geometry_dimension,geometry_level,metric,n,median,p90
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,10-20,raw_rms_hz,33,440.07608493273614,985.4860454717523
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,10-20,score_orbit_hz,33,1.6869903891961178,8.712014211539348
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,10-20,abs_delta_k_orbit_hz_per_s,33,1.5758243039321298,6.2244219549694515
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,20-40,raw_rms_hz,154,229.0687288475877,628.5524495830292
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,20-40,score_orbit_hz,154,9.74314530244199,22.518668471670615
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,20-40,abs_delta_k_orbit_hz_per_s,154,2.949445181079545,8.336585452293107
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,40-60,raw_rms_hz,21,1434.18524621262,2063.161579923421
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,40-60,score_orbit_hz,21,71.8174939220924,112.70291510713432
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,40-60,abs_delta_k_orbit_hz_per_s,21,1.000095113555571,2.455045302061731
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,60-90,raw_rms_hz,32,836.1286233599171,1801.5960793130837
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,60-90,score_orbit_hz,32,67.04008850702684,141.5015250658362
EXPLORATORY_APRIL_MAY,6-9 h,elevation_bin,60-90,abs_delta_k_orbit_hz_per_s,32,1.343469892085261,3.468472262634165
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,10-20,raw_rms_hz,121,540.7612104379438,1461.138609981473
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,10-20,score_orbit_hz,121,3.719857350666356,9.911410335348156
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,10-20,abs_delta_k_orbit_hz_per_s,121,0.891196201088441,6.542708269721424
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,20-40,raw_rms_hz,95,466.9096589296631,1285.7432574662175
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,20-40,score_orbit_hz,95,18.25836837690179,48.52477051641198
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,20-40,abs_delta_k_orbit_hz_per_s,95,4.750253876172193,11.565033669433927
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,40-60,raw_rms_hz,8,1722.4936210212181,
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,40-60,score_orbit_hz,8,84.70874603448561,
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,40-60,abs_delta_k_orbit_hz_per_s,8,0.541448746252029,
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,60-90,raw_rms_hz,16,2125.949100257212,3252.109943699798
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,60-90,score_orbit_hz,16,187.96847208293855,241.25001816413354
EXPLORATORY_APRIL_MAY,9-12 h,elevation_bin,60-90,abs_delta_k_orbit_hz_per_s,16,0.948442232362938,3.733233754235182
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,PEAK,raw_rms_hz,80,517.4753555334684,1190.045103276424
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,PEAK,score_orbit_hz,80,26.224780426960407,84.12777865498042
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,80,0.7718352666801399,2.5351583412347956
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,RISING_25_PERCENT,raw_rms_hz,78,113.23402619528322,377.6159900550308
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,RISING_25_PERCENT,score_orbit_hz,78,4.5204401816268955,13.828250802135157
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,78,1.8003206425025824,4.767405517392535
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,81,126.94120646704832,390.2255666252844
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,81,4.485263093431947,13.077041041038502
EXPLORATORY_APRIL_MAY,0-6 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,81,1.7903069433114454,4.678319561361701
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,PEAK,raw_rms_hz,80,1594.756587996758,4233.48746546275
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,PEAK,score_orbit_hz,80,80.81922652726107,303.1700966487306
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,80,0.8531086600942638,2.3813039480498888
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,RISING_25_PERCENT,raw_rms_hz,82,452.2683942083073,1004.5732895463451
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,RISING_25_PERCENT,score_orbit_hz,82,14.744040082205489,43.40158765192375
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,RISING_25_PERCENT,abs_delta_k_orbit_hz_per_s,82,5.8572141693232265,16.02356084325339
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,SETTING_75_PERCENT,raw_rms_hz,80,463.6562463973198,1151.1408339584125
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,SETTING_75_PERCENT,score_orbit_hz,80,14.653357639490604,43.164877966669174
EXPLORATORY_APRIL_MAY,12-18 h,phase_label,SETTING_75_PERCENT,abs_delta_k_orbit_hz_per_s,80,5.768334018156558,15.786667316160418
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,PEAK,raw_rms_hz,80,1919.15893820451,7650.878469832203
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,PEAK,score_orbit_hz,80,43.006907152826784,583.5893946332218
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,PEAK,abs_delta_k_orbit_hz_per_s,80,0.7130612732934174,7.396282197305724
EXPLORATORY_APRIL_MAY,18-24 h,phase_label,RISING_25_PERCENT,raw_rms_hz,80,904.0497815370748,2349.028556733126
