experiment_family,family_label,ORBIT_DISTINCT_units,rho99_mean,rho99_p10,rho99_q1,rho99_median,rho99_q3,rho99_p90,rho99_min,rho99_max,acceptance_fraction_mean,acceptance_fraction_p10,acceptance_fraction_q1,acceptance_fraction_median,acceptance_fraction_q3,acceptance_fraction_p90,acceptance_fraction_min,acceptance_fraction_max,zero_acceptance_units,nonzero_acceptance_units,rare_units,mixed_units,high_units,full_acceptance_units,analysis_unit
segment_local_heatmap_and_direction_sensitivity,Direction,29,1203.7833819751604,4.726305692096215,86.22863414362094,1415.4773291238748,1797.201635823788,2607.179945268444,1.9297861969974857,2677.57196412757,0.045517241379310354,0.02,0.02,0.04,0.04,0.04,0.0,0.29,2,27,25,2,0,0,LEVEL_A_ORBIT_UNIT
controlled_altitude_difference_synthetic_B,Altitude,166,8.589741088588578,1.930770393223025,2.1413316655888552,4.291110227697342,10.731983772115159,19.365111415422803,1.0682287665708432,21.460074028426465,0.42650602409638555,0.0,0.1666666666666666,0.5,0.6333333333333333,0.7666666666666667,0.0,0.9666666666666668,25,141,10,126,5,0,LEVEL_A_ORBIT_UNIT
same_pair_multi_pass_real_TLE,Multi-pass,40,1587.040085938404,284.5574673554944,1374.528979040225,1642.9315278235558,2034.7460846149866,2363.8475448804534,36.88535737303945,2968.465923544956,0.02291666666666666,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.35,35,5,2,3,0,0,LEVEL_A_ORBIT_UNIT
active_compensation_first_pass,Active compensation,30,1456.7280392793507,11.738922771914188,897.2394839687661,1549.1338376625492,2248.268563639083,2653.4783984707406,1.9720762998401693,2852.0498165888075,0.27777777777777773,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,5,25,0,25,0,0,LEVEL_A_ORBIT_UNIT
