candidate,candidate_role,freshness_bin,bin_left_h_exclusive,bin_right_h_inclusive,model_geometry,train_n,satellite_count,center_R_km,center_T_km,center_N_km,scale_R_km,scale_T_km,scale_N_km,cov_RR_km2,cov_RT_km2,cov_RN_km2,cov_TR_km2,cov_TT_km2,cov_TN_km2,cov_NR_km2,cov_NT_km2,cov_NN_km2,c95_empirical_score,c99_empirical_score,quantile_method,determinant_km6,condition_number,eigenvalue_1_km2,eigenvalue_2_km2,eigenvalue_3_km2,raw_support_fraction,reweighted_support_fraction,principal_direction_1_R,principal_direction_2_R,principal_direction_3_R,principal_direction_1_T,principal_direction_2_T,principal_direction_3_T,principal_direction_1_N,principal_direction_2_N,principal_direction_3_N
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,0-6 h,0.0,6.0,axis_aligned_robust_max_score_box,1548,20,-0.029917178586865,0.0603623837590751,-0.03071194736977475,0.16498694907690648,1.8174599254645443,0.14490421248279037,,,,,,,,,,5.47577867578623,24.410255917783587,higher,,12.542491997466229,0.02722069336570573,3.3031605806695867,0.02099723079525766,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,6-9 h,6.0,9.0,axis_aligned_robust_max_score_box,2466,20,0.00034047046967275,0.9627736243042936,0.00363038962787675,0.16391266320305325,2.4708272505526705,0.1535144068103748,,,,,,,,,,5.285460366337913,37.663507245654245,higher,,16.09508385492903,0.02686736115831757,6.10498730207367,0.023566673098341245,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,9-12 h,9.0,12.0,axis_aligned_robust_max_score_box,2308,20,-0.03247151465876145,1.5747116661595595,0.01452379568439195,0.17812451096883108,3.7366261196604644,0.1550950247660021,,,,,,,,,,4.369462681518454,25.001550054863674,higher,,24.092495070670758,0.031728341407885226,13.962374758128819,0.024054466707166804,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,12-18 h,12.0,18.0,axis_aligned_robust_max_score_box,3163,20,-0.0551352913322733,2.5915186551781004,0.0116016196152784,0.1897920313781634,5.398352938105224,0.14628375463514773,,,,,,,,,,4.262611451916423,28.036151243182772,higher,,36.903297646204635,0.036021015174649756,29.142214444349303,0.021398936870156104,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,18-24 h,18.0,24.0,axis_aligned_robust_max_score_box,1540,20,-0.02161911691040875,4.883827004088203,0.0181425274135096,0.19892419661869182,9.147582991532477,0.2062505651999099,,,,,,,,,,4.186701782117927,28.221036577845307,higher,,45.98527050516151,0.03957083600039196,83.67827458697427,0.042539295645282284,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
JOINT_MAX_SCORE_BOX,SECONDARY_SENSITIVITY_CANDIDATE,24-36 h,24.0,36.0,axis_aligned_robust_max_score_box,731,20,-0.124603481043852,7.042687544655734,-0.0202176975182348,0.23411962261829064,13.832320033812552,0.29203586064632864,,,,,,,,,,4.2163234447841225,48.080812601741016,higher,,59.08227545866503,0.05481199769493083,191.3330775178121,0.08528494390344188,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,0-6 h,0.0,6.0,rotated_robust_empirical_ellipsoid,1548,20,-0.028530467869440718,0.0997041577449314,-0.028297028103468097,,,,0.020622843143980094,0.013399999129313549,0.008118143967675129,0.013399999129313549,2.4887470618592684,-0.0011022104313448793,0.008118143967675129,-0.0011022104313448793,0.021017898869213944,47.98776059005807,926.7323687698333,higher,0.0009106866377351833,196.6451656943859,2.4888202650071642,0.028911136882474237,0.01265640198282399,0.5012919896640827,0.8204134366925064,-0.0054275721816045295,0.6968587833817109,0.7171878258057475,-0.9999851786962146,-0.003474785347445247,-0.004191450189213498,0.0004287751309843788,0.7171999455455575,-0.6968673146742757
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,6-9 h,6.0,9.0,rotated_robust_empirical_ellipsoid,2466,20,-0.004425557834998686,1.0439789631277594,0.0010482956126801632,,,,0.021166412277352713,-0.043098665603728895,0.005785462615091969,-0.043098665603728895,5.099486717689812,-0.0005458759900032954,0.005785462615091969,-0.0005458759900032954,0.019927236536091214,50.82846564671462,2035.8134291755835,higher,0.0019434661433734444,350.10060293476903,5.099852530587071,0.026161015728398757,0.014566820187787955,0.5008110300081103,0.8390105433901054,-0.008486011940920737,0.7332326346593337,0.6799249157604613,0.9999639862938365,0.006302082235583529,0.005684177586610298,-0.00011711822544282104,0.6799486651432061,-0.7332597077797833
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,9-12 h,9.0,12.0,rotated_robust_empirical_ellipsoid,2308,20,-0.033976594820990975,1.4492896216482964,0.016672852138289417,,,,0.02488549437866721,-0.12407977694597301,0.0029967817364930545,-0.12407977694597301,10.447480894990266,0.018560282819587486,0.0029967817364930545,0.018560282819587486,0.020317123288777963,31.32749048335574,948.5696084793933,higher,0.00485326420291282,571.9292910206088,10.44899074179378,0.02542304608177875,0.018269724782144618,0.5008665511265165,0.854419410745234,-0.011901786004670692,0.8475259009401308,0.5306205751057136,0.9999275937039313,0.009145155739288584,0.007821347452318998,0.0017761867482798386,0.530675242838898,-0.8475733784154099
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,12-18 h,12.0,18.0,rotated_robust_empirical_ellipsoid,3163,20,-0.06291916883793097,2.5645038888719456,0.011773493713576492,,,,0.02988818476326204,-0.34110808877031995,0.004054936672220329,-0.34110808877031995,23.867102697828155,-0.004376272859170148,0.004054936672220329,-0.004376272859170148,0.021415343640900048,29.005502435074128,1099.4845501122445,higher,0.012403837193454646,1267.5200071079307,23.87198374462399,0.02758886666674034,0.018833614941583476,0.5007903888713247,0.8542522921277268,-0.014305534949631788,0.8396842702963175,-0.5428864318499272,0.9998976533179796,0.012114305314254073,-0.007610945798680646,-0.0001859005171660232,0.5429397478760362,0.8397716330153716
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,18-24 h,18.0,24.0,rotated_robust_empirical_ellipsoid,1540,20,-0.02529653881831003,4.680607181282923,0.007897510189152693,,,,0.029820824091322966,-0.7859239571091982,0.008191774588059276,-0.7859239571091982,60.81456738844374,-0.012117680405524895,0.008191774588059276,-0.012117680405524895,0.032499404273444214,37.652634716465826,1467.668474883233,higher,0.03493554840595303,3850.715493495891,60.82472984939219,0.036362071797633136,0.015795695618679103,0.5012987012987012,0.8363636363636363,-0.012926410076766603,-0.43347519144346086,0.9010727863638887,0.9999164302578354,-0.005784941270562598,0.011561442596997921,-0.00020105460652103074,-0.9011469318915484,-0.4335137445566104
ROBUST_EMPIRICAL_ELLIPSOID,PRIMARY_CANDIDATE_FOR_JUNE,24-36 h,24.0,36.0,rotated_robust_empirical_ellipsoid,731,20,-0.1178862411781221,6.802643524523765,-0.025625944045155676,,,,0.04439503574462716,-1.2554533956331895,0.019921986878809233,-1.2554533956331895,136.90621680101205,0.002248828787328839,0.019921986878809233,0.002248828787328839,0.05348333307434856,39.59523230115785,8394.483029045205,higher,0.18632208632131417,6602.94217841039,136.91773231987736,0.06562698272657355,0.020735867227114707,0.5034199726402189,0.8645690834473324,-0.009171985653675916,-0.5200879648036747,0.8540634540510094,0.9999579363409744,-0.004757546564724753,0.007841638820073419,1.5095322780135963e-05,-0.8540994524158508,-0.520109724149698
