experiment_family,orbit_unit_id,A_id,A_name,B_class,B_identity_or_perturbation_definition,segment_or_pass_id,evaluation_time,selected_causal_A_GP_ID,selected_causal_A_GP_EPOCH,selected_causal_A_GP_CREATION_DATE,A_causal_GP_reconstructable,B_reconstructable,randomness_reconstructable,primary_or_sensitivity_role,include_in_R3,exclusion_reason,selection_uses_causal_A_result,selection_rule,A_reconstruction_rule,B_reconstruction_rule,planned_primary_realization_rows,planned_endpoint_rows,planned_diagnostic_rows,planned_sensitivity_rows_available_not_in_core_R3
active_compensation_first_pass,orbit_unit_2e00e2c72ca12f0a0715513a,45230,STARLINK-1227,REAL_B,47383,full_pass:45230,2026-03-10T15:10:45Z,315473124,2026-03-10T05:29:47.380704Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_31b7de8cbe92eaad920b5824,44714,STARLINK-1008,REAL_B,45230,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_323fd7cc6d8f33e41627084a,65421,STARLINK-35146,REAL_B,48672,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_370971ad9b5b14ca972e1429,47749,STARLINK-2163,REAL_B,65421,full_pass:47749,2026-03-10T04:40:56Z,315422051,2026-03-09T15:51:19.111968Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_39085bbd6e9668a12a518785,65421,STARLINK-35146,REAL_B,47749,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_3b11534509a522755e23278c,65410,STARLINK-35024,REAL_B,65407,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_4049d2046071d80eef315b42,65411,STARLINK-34983,REAL_B,47767,full_pass:65411,2026-03-10T06:25:06Z,315434188,2026-03-09T16:02:59.594784Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_430b320bf676e0e1f1d1ffad,47749,STARLINK-2163,REAL_B,65409,full_pass:47749,2026-03-10T04:40:56Z,315422051,2026-03-09T15:51:19.111968Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_4479f4321efeb5f53850874e,65411,STARLINK-34983,REAL_B,65410,full_pass:65411,2026-03-10T06:25:06Z,315434188,2026-03-09T16:02:59.594784Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_46004e393d4efcc97179894e,44714,STARLINK-1008,REAL_B,65411,full_pass:44714,2026-03-10T02:36:50.500000Z,315393241,2026-03-09T13:49:15.828096Z,2026-03-09T22:56:35Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_47032e8a69da01ccc8443696,65421,STARLINK-35146,REAL_B,65410,full_pass:65421,2026-03-10T06:45:29.500000Z,315434193,2026-03-09T17:56:44.636640Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_4be92b19bd28674d7116fb70,65411,STARLINK-34983,REAL_B,65686,full_pass:65411,2026-03-10T06:25:06Z,315434188,2026-03-09T16:02:59.594784Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
active_compensation_first_pass,orbit_unit_5190660b1c6f5be5ed6beb87,45230,STARLINK-1227,REAL_B,47844,full_pass:45230,2026-03-10T15:10:45Z,315473124,2026-03-10T05:29:47.380704Z,2026-03-10T09:52:28Z,True,True,True,PRIMARY_CORE,True,,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,6,3,3,0
active_compensation_first_pass,orbit_unit_543f9ee0dce493e403deb3c7,65410,STARLINK-35024,REAL_B,47749,full_pass:65410,2026-03-10T06:43:17.500000Z,315434688,2026-03-09T16:20:35.643840Z,2026-03-10T03:44:43Z,True,True,True,PRIMARY_CORE,False,DETERMINISTIC_TARGET_STRATIFIED_ACTIVE_PAIR_THINNING_NOT_FIRST_3_SHA256,False,FIRST_3_B_PER_A_BY_SHA256_R2_ACTIVE_PAIR_V1,"latest CREATION_DATE<=evaluation_time, then latest EPOCH, then GP_ID",preserve original real-B identity and frozen historical TLE physical semantics,0,0,0,0
