analysis_split,freshness_bin,metric,n,median,p90,p95,p99,minimum,maximum,p99_support_status
EXPLORATORY_APRIL_MAY,0-6 h,raw_rms_hz,239,172.563870151233,704.4420728893376,1044.5417221338496,1954.4707014996293,7.191340979485247,6210.565305047469,REPORTED
EXPLORATORY_APRIL_MAY,0-6 h,abs_delta_b_orbit_hz,239,167.39181077675735,701.1199572328662,1038.0318717456248,1947.7100500869751,5.291088323124119,6197.061174830452,REPORTED
EXPLORATORY_APRIL_MAY,0-6 h,abs_delta_k_orbit_hz_per_s,239,1.441994919517191,4.072860716038569,5.649181887789547,8.0166204353143,0.0129686714668616,24.81319493990233,REPORTED
EXPLORATORY_APRIL_MAY,0-6 h,score_orbit_hz,239,6.625802153793527,55.114409200658415,72.91399333355504,160.49813565870747,0.0656048577187999,406.29372329140926,REPORTED
EXPLORATORY_APRIL_MAY,0-6 h,explained_fraction,239,0.997137680223075,0.9999419376495557,0.9999790997612157,0.9999949988239231,0.956900730326847,0.9999969134533756,REPORTED
EXPLORATORY_APRIL_MAY,6-9 h,raw_rms_hz,240,336.5368015047883,1313.6103577422136,1704.993338822647,2192.229199559952,4.556410717605296,2751.489254024498,REPORTED
EXPLORATORY_APRIL_MAY,6-9 h,abs_delta_b_orbit_hz,240,318.74576037047336,1312.9725490194849,1702.9034402378263,2188.9705874286683,3.679640160232292,2743.133374573754,REPORTED
EXPLORATORY_APRIL_MAY,6-9 h,abs_delta_k_orbit_hz_per_s,240,2.0203895215821754,7.4556045042831816,8.601474283052967,10.275409994171767,0.0002740234625143,11.578816719196393,REPORTED
EXPLORATORY_APRIL_MAY,6-9 h,score_orbit_hz,240,10.838572004975259,73.63871186080648,104.18969439864652,157.32387439924094,0.0652495861053066,211.5158183268292,REPORTED
EXPLORATORY_APRIL_MAY,6-9 h,explained_fraction,240,0.9978443289116372,0.9998992676297098,0.999979393572007,0.9999967001328309,0.961467324390011,0.999997486127354,REPORTED
EXPLORATORY_APRIL_MAY,9-12 h,raw_rms_hz,240,547.8842598680537,2060.1586731951293,2759.090616068706,4934.418362383983,8.968230346766383,8850.215362210844,REPORTED
EXPLORATORY_APRIL_MAY,9-12 h,abs_delta_b_orbit_hz,240,535.4101735568436,2055.398951502315,2652.851484636398,4932.664251440683,7.909707491515112,8841.029800852792,REPORTED
EXPLORATORY_APRIL_MAY,9-12 h,abs_delta_k_orbit_hz_per_s,240,1.5075799035748627,8.715715498548537,11.391694154119062,31.593052605322836,0.0038651093675119,43.28461955033683,REPORTED
EXPLORATORY_APRIL_MAY,9-12 h,score_orbit_hz,240,7.109823597162125,63.18416368530144,157.9080528445887,243.03517075714169,0.0856182053959624,538.3105866225228,REPORTED
EXPLORATORY_APRIL_MAY,9-12 h,explained_fraction,240,0.9997859279784276,0.9999805022254898,0.9999904830125824,0.9999970781332519,0.989364620789538,0.9999973777934802,REPORTED
EXPLORATORY_APRIL_MAY,12-18 h,raw_rms_hz,242,605.0413698198527,2711.258279511203,3517.1460528365533,7725.532755660019,9.258922916725975,11436.00394643056,REPORTED
EXPLORATORY_APRIL_MAY,12-18 h,abs_delta_b_orbit_hz,242,574.2212434987551,2706.590946388245,3507.4596958379266,7698.6343719357465,3.435331000656377,11397.192771849084,REPORTED
EXPLORATORY_APRIL_MAY,12-18 h,abs_delta_k_orbit_hz_per_s,242,3.0261541524934508,13.891274862395349,17.336017562436528,32.53538902919172,0.0117834058909861,38.96106299415965,REPORTED
EXPLORATORY_APRIL_MAY,12-18 h,score_orbit_hz,242,20.925314068220743,165.03367292262473,264.9222784667124,609.2756723674812,0.0908698757244255,917.9182146861374,REPORTED
EXPLORATORY_APRIL_MAY,12-18 h,explained_fraction,242,0.9967650555498924,0.9999212032493968,0.9999674440828598,0.9999936203335703,0.9868298753151457,0.9999972412659554,REPORTED
EXPLORATORY_APRIL_MAY,18-24 h,raw_rms_hz,239,1126.636941845943,3994.487944622951,6021.73765722486,8659.574125909194,1.233589561664564,9727.186522873348,REPORTED
EXPLORATORY_APRIL_MAY,18-24 h,abs_delta_b_orbit_hz,239,1089.9640177742378,3990.627175140383,6003.600792490846,8631.14490678318,0.3295240245881627,9699.349273243886,REPORTED
EXPLORATORY_APRIL_MAY,18-24 h,abs_delta_k_orbit_hz_per_s,239,5.664486925820079,24.410925761847725,28.12513452764922,36.45995764808515,0.0202582318463814,45.44771650345602,REPORTED
EXPLORATORY_APRIL_MAY,18-24 h,score_orbit_hz,239,17.752094150834196,140.33590741461927,451.8103888840428,669.62977265373,0.0971494766686976,740.6474369506159,REPORTED
EXPLORATORY_APRIL_MAY,18-24 h,explained_fraction,239,0.9996220518720738,0.9999933164498364,0.9999961223443775,0.9999973093343503,0.98399079067205,0.999997494189804,REPORTED
EXPLORATORY_APRIL_MAY,24-36 h,raw_rms_hz,186,1623.124550803388,4995.013789080539,7448.1255263069115,143182.34667874064,16.534237112277754,218393.6504883894,REPORTED
EXPLORATORY_APRIL_MAY,24-36 h,abs_delta_b_orbit_hz,186,1591.0140893654743,4989.7076122878025,7443.556575689158,141731.56918902334,16.46079888891001,212834.03001088,REPORTED
EXPLORATORY_APRIL_MAY,24-36 h,abs_delta_k_orbit_hz_per_s,186,5.149252787801345,28.19397102403365,43.405995020823546,991.5460804811345,0.0104085884921326,2779.144363332918,REPORTED
EXPLORATORY_APRIL_MAY,24-36 h,score_orbit_hz,186,21.16452721334695,265.6471051376206,485.8506184493539,1640.3482709118368,0.0545007087798379,3045.9295523309534,REPORTED
EXPLORATORY_APRIL_MAY,24-36 h,explained_fraction,186,0.9995694205329677,0.9999835828726045,0.9999945310056277,0.9999972275804301,0.9897369794489138,0.9999973270186056,REPORTED
