satellite_norad_id,month,freshness_bin,satellite_name,analysis_role,segment_units,selected_passes,min_age_h,median_age_h,max_age_h,support_status
65421,2026-04,18-24 h,STARLINK-35146,EXPLORATORY,6,2,22.26131704888889,23.10909482666667,23.956872604444445,AVAILABLE
65421,2026-04,24-36 h,STARLINK-35146,EXPLORATORY,6,2,25.320024008888886,26.140440675555553,26.987801786666665,AVAILABLE
65421,2026-05,0-6 h,STARLINK-35146,EXPLORATORY,6,2,5.024521902222222,5.062620288888889,5.100718675555556,AVAILABLE
65421,2026-05,6-9 h,STARLINK-35146,EXPLORATORY,6,2,6.509697848888889,7.329142293333334,8.176642053333333,AVAILABLE
65421,2026-05,9-12 h,STARLINK-35146,EXPLORATORY,6,2,9.654200106666668,10.4887832,11.3350332,AVAILABLE
65421,2026-05,12-18 h,STARLINK-35146,EXPLORATORY,6,2,12.906422088888888,13.753505422222222,14.599755422222222,AVAILABLE
65421,2026-05,18-24 h,STARLINK-35146,EXPLORATORY,6,2,19.29097853333333,21.26437813333333,23.230277733333335,AVAILABLE
65421,2026-05,24-36 h,STARLINK-35146,EXPLORATORY,6,2,24.799722177777777,25.645277733333334,26.491388844444444,AVAILABLE
65421,2026-06,0-6 h,STARLINK-35146,CONFIRMATORY,3,1,5.045885528888888,5.076441084444444,5.107274417777777,AVAILABLE
65421,2026-06,6-9 h,STARLINK-35146,CONFIRMATORY,6,2,6.676227146666667,7.521504924444445,8.357893813333334,AVAILABLE
65421,2026-06,9-12 h,STARLINK-35146,CONFIRMATORY,6,2,11.229716097777779,11.333443311111111,11.441059413333333,AVAILABLE
65421,2026-06,12-18 h,STARLINK-35146,CONFIRMATORY,6,2,12.855549431111111,13.702216097777779,14.548882764444445,AVAILABLE
65421,2026-06,18-24 h,STARLINK-35146,CONFIRMATORY,6,2,20.620809795555555,21.461365351111112,22.306920906666665,AVAILABLE
65421,2026-06,24-36 h,STARLINK-35146,CONFIRMATORY,6,2,25.506920906666664,26.355393128888885,27.16247646222222,AVAILABLE
65409,2026-04,0-6 h,STARLINK-35022,EXPLORATORY,6,2,5.016811546666666,5.050097693333333,5.083661617777778,AVAILABLE
65409,2026-04,6-9 h,STARLINK-35022,EXPLORATORY,6,2,6.648397119999999,7.497664848888888,8.344710355555556,AVAILABLE
65409,2026-04,9-12 h,STARLINK-35022,EXPLORATORY,6,2,9.9216548,10.59066224888889,11.288280808888889,AVAILABLE
65409,2026-04,12-18 h,STARLINK-35022,EXPLORATORY,6,2,12.862529982222222,13.71030776,14.558085537777778,AVAILABLE
65409,2026-04,18-24 h,STARLINK-35022,EXPLORATORY,6,2,22.26217656,23.10995433777778,23.957732115555554,AVAILABLE
65409,2026-04,24-36 h,STARLINK-35022,EXPLORATORY,6,2,33.16018896888889,33.98657785777778,34.83352230222222,AVAILABLE
65409,2026-05,0-6 h,STARLINK-35022,EXPLORATORY,6,2,3.815833288888889,4.661388844444445,5.4902777333333335,AVAILABLE
65409,2026-05,6-9 h,STARLINK-35022,EXPLORATORY,6,2,6.553611066666667,6.775694408888889,6.984722195555555,AVAILABLE
65409,2026-05,9-12 h,STARLINK-35022,EXPLORATORY,6,2,9.638640364444445,9.674459057777778,9.73027775111111,AVAILABLE
65409,2026-05,12-18 h,STARLINK-35022,EXPLORATORY,6,2,12.88030679111111,13.726556791111111,14.57280679111111,AVAILABLE
65409,2026-05,18-24 h,STARLINK-35022,EXPLORATORY,6,2,19.198747102222224,19.284183560000002,19.334064462222223,AVAILABLE
65409,2026-05,24-36 h,STARLINK-35022,EXPLORATORY,6,2,33.12912944,33.95704610666667,34.802740551111114,AVAILABLE
65409,2026-06,0-6 h,STARLINK-35022,CONFIRMATORY,6,2,4.940097484444445,5.220604435555556,5.522778053333334,AVAILABLE
65409,2026-06,6-9 h,STARLINK-35022,CONFIRMATORY,6,2,7.093333608888889,7.939028053333334,8.782778053333333,AVAILABLE
65409,2026-06,9-12 h,STARLINK-35022,CONFIRMATORY,6,2,9.693193137777778,10.055763373333335,10.387500275555556,AVAILABLE
65409,2026-06,12-18 h,STARLINK-35022,CONFIRMATORY,6,2,15.909789866666667,16.744095422222223,17.58951208888889,AVAILABLE
65409,2026-06,18-24 h,STARLINK-35022,CONFIRMATORY,6,2,19.04577307555556,19.882300853333334,20.727717520000002,AVAILABLE
65409,2026-06,24-36 h,STARLINK-35022,CONFIRMATORY,6,2,25.560217520000002,28.580177551111113,31.607359804444442,AVAILABLE
65410,2026-04,0-6 h,STARLINK-35024,EXPLORATORY,6,2,5.019978853333333,5.0531551511111115,5.086609226666666,AVAILABLE
65410,2026-04,6-9 h,STARLINK-35024,EXPLORATORY,6,2,6.651547146666666,7.500674186666666,8.347023448888889,AVAILABLE
65410,2026-04,9-12 h,STARLINK-35024,EXPLORATORY,6,2,9.926467893333333,10.591604693333332,11.291463715555555,AVAILABLE
65410,2026-04,12-18 h,STARLINK-35024,EXPLORATORY,6,2,12.865625528888888,13.713403306666667,14.561181084444444,AVAILABLE
65410,2026-04,18-24 h,STARLINK-35024,EXPLORATORY,6,2,22.265348666666668,23.113126444444443,23.960904222222222,AVAILABLE
65410,2026-04,24-36 h,STARLINK-35024,EXPLORATORY,3,1,33.16176602666667,33.18287713777778,33.204266026666666,AVAILABLE
65410,2026-05,0-6 h,STARLINK-35024,EXPLORATORY,6,2,3.9322221777777777,4.521805511111111,5.101388844444444,AVAILABLE
65410,2026-05,6-9 h,STARLINK-35024,EXPLORATORY,6,2,6.6697221777777775,7.516249955555556,8.362777733333333,AVAILABLE
65410,2026-05,9-12 h,STARLINK-35024,EXPLORATORY,6,2,9.513333288888887,9.669583297777777,9.846944417777777,AVAILABLE
65410,2026-05,12-18 h,STARLINK-35024,EXPLORATORY,6,2,12.754166622222222,13.60055551111111,14.4469444,AVAILABLE
65410,2026-05,18-24 h,STARLINK-35024,EXPLORATORY,6,2,19.20273169777778,19.262289586666668,19.31518080888889,AVAILABLE
65410,2026-05,24-36 h,STARLINK-35024,EXPLORATORY,6,2,25.514118844444443,28.568438115555555,31.61136849777778,AVAILABLE
65410,2026-06,0-6 h,STARLINK-35024,CONFIRMATORY,6,2,4.951005928888889,5.2903642133333335,5.639166942222222,AVAILABLE
65410,2026-06,6-9 h,STARLINK-35024,CONFIRMATORY,6,2,7.209722497777778,8.055416942222223,8.898611386666667,AVAILABLE
65410,2026-06,9-12 h,STARLINK-35024,CONFIRMATORY,6,2,9.832672355555555,10.18439187111111,10.499722497777778,AVAILABLE
