month,analysis_role,satellite_norad_id,satellite_name,freshness_bin,candidate_pass_count,eligible_pass_count,selected_pass_count,selected_segment_count,status,preselection_failure_counts
2026-04,EXPLORATORY,65410,STARLINK-35024,12-18 h,152,81,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65410,STARLINK-35024,18-24 h,152,10,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65410,STARLINK-35024,24-36 h,152,1,1,3,LIMITED_SUPPORT,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,0-6 h,153,11,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,6-9 h,153,25,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,9-12 h,153,27,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,12-18 h,153,73,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,18-24 h,153,10,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65411,STARLINK-34983,24-36 h,153,6,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,0-6 h,152,19,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,6-9 h,152,24,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,9-12 h,152,19,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,12-18 h,152,79,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,18-24 h,152,9,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47383,STARLINK-2103,24-36 h,152,0,0,0,LIMITED_SUPPORT,"{""PEAK_OUT_OF_SUPPORT"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,0-6 h,148,7,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,6-9 h,148,23,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,9-12 h,148,25,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,12-18 h,148,75,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,18-24 h,148,12,2,6,ADEQUATE_PASS_QUOTA,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,48309,STARLINK-2517,24-36 h,148,0,0,0,LIMITED_SUPPORT,"{""PEAK_OUT_OF_SUPPORT"": 5, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,0-6 h,148,3,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,6-9 h,148,20,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,9-12 h,148,25,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,12-18 h,148,83,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,18-24 h,148,15,2,6,ADEQUATE_PASS_QUOTA,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,45230,STARLINK-1227,24-36 h,148,1,1,3,LIMITED_SUPPORT,"{""NO_REFERENCE_WITHIN_3H"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,0-6 h,151,9,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,6-9 h,151,26,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,9-12 h,151,33,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,12-18 h,151,69,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,18-24 h,151,12,2,6,ADEQUATE_PASS_QUOTA,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,65407,STARLINK-35035,24-36 h,151,1,1,3,LIMITED_SUPPORT,"{""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
2026-04,EXPLORATORY,47844,STARLINK-2446,0-6 h,153,7,2,6,ADEQUATE_PASS_QUOTA,"{""DUPLICATE_PHASE_CENTER"": 1, ""SEGMENT_PUBLIC_VISIBILITY_FAIL"": 1}"
