OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-2517,2021-036AK,2026-04-01T01:11:42.000029,15.31097690,.0001417,53.1601,344.5284,81.7075,334.0923,0,C,48309,91,1,-.4283E-2,-.13044E-2,0,0.325,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T04:04:42.000038,15.31019205,.0001295,53.1601,343.9698,83.0760,275.2991,0,C,48309,91,1,-.37314E-3,-.11357E-3,0,0.284,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T07:08:41.999971,15.31016777,.0001218,53.1599,343.3748,85.7515,257.2864,0,C,48309,91,1,-.49503E-3,-.15065E-3,0,0.214,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T10:12:41.999990,15.31012060,.0001237,53.1601,342.7798,91.8336,235.8647,0,C,48309,91,1,-.14071E-3,-.42822E-4,0,0.247,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T13:05:42.000000,15.30985501,.0001237,53.1600,342.2205,95.3999,174.8384,0,C,48309,91,1,.19277E-2,.58674E-3,0,0.197,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T16:53:41.999971,15.31015416,.00013,53.1601,341.4841,96.0249,327.3661,0,C,48309,91,1,.87663E-3,.26694E-3,0,0.181,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T19:47:42.000029,15.31051328,.0001254,53.1601,340.9230,91.1593,278.5905,0,C,48309,91,1,-.16664E-2,-.50738E-3,0,0.243,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T22:26:41.999971,15.31048859,.0001278,53.1598,340.4101,84.5070,174.1712,0,C,48309,91,1,-.23411E-2,-.71256E-3,0,0.233,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-01T23:10:42.000010,15.31002804,.0001432,53.1598,340.2682,80.5043,346.6887,0,C,48309,91,1,.27871E-2,.84914E-3,0,0.370,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T02:36:41.999962,15.31001744,.0001516,53.1598,339.6033,72.5880,63.5261,0,C,48309,92,1,.48959E-2,.14931E-2,0,0.281,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T05:07:42.000038,15.31076688,.0001562,53.1594,339.1154,68.3648,286.0198,0,C,48309,92,1,.13605E-2,.41518E-3,0,0.255,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T11:26:42.000000,15.31131775,.0001361,53.1595,337.8896,85.1383,280.7664,0,C,48309,92,1,-.61944E-2,-.18868E-2,0,0.435,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T15:24:42.000019,15.31011125,.0001302,53.1594,337.1204,92.2637,105.1704,0,C,48309,92,1,-.1928E-3,-.58674E-4,0,0.330,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T17:55:42.000010,15.31006838,.0001267,53.1595,336.6332,94.0185,321.6965,0,C,48309,92,1,.28404E-3,.86446E-4,0,0.174,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-02T23:30:42.000019,15.31004802,.0001281,53.1595,335.5526,83.9126,174.7421,0,C,48309,92,1,.76492E-3,.23284E-3,0,0.173,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T02:13:41.999981,15.30988969,.0001235,53.1596,335.0265,81.4708,81.4244,0,C,48309,93,1,.23591E-2,.71829E-3,0,0.129,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T05:25:42.000038,15.31025120,.0001222,53.1592,334.4059,82.2100,95.9718,0,C,48309,93,1,.52232E-3,.15907E-3,0,0.216,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T07:25:42.000010,15.31042464,.0001197,53.1592,334.0178,84.6308,193.1108,0,C,48309,93,1,-.59914E-3,-.18247E-3,0,0.204,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T11:00:41.999962,15.31014915,.0001197,53.1593,333.3226,92.3021,288.8379,0,C,48309,93,1,.13826E-2,.42111E-3,0,0.245,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T14:14:42.000029,15.31016719,.0001241,53.1591,332.6955,93.6289,310.4741,0,C,48309,93,1,.19035E-2,.57995E-3,0,0.191,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T17:29:41.999971,15.31054853,.0001279,53.1592,332.0663,91.6752,339.2137,0,C,48309,93,1,-.40792E-4,-.12431E-4,0,0.201,SpaceX-E
STARLINK-2517,2021-036AK,2026-04-03T22:32:42.000000,15.31122536,.0001492,53.1590,331.0889,87.3305,63.9709,0,C,48309,93,1,-.80288E-2,-.24427E-2,0,0.338,SpaceX-E
